SNo,அதிகாரம்,இயல்,பால்,Chapter,Book,Division,अध्याय-chapter,विभाजन-Division,पुस्तक-book,தமிழ்,English,हिन्दी,English_explanation,Tamil_Explanation,Hindi_Explanation
1,கடவுள் வாழ்த்து,பாயிரவியல்,அறத்துப்பால்,The Praise of God,Prologue,Virtue,परमेश्वर की स्तुति,गुण,प्रस्ताविका,அகர முதல எழுத்தெல்லாம் ஆதி பகவன் முதற்றே உலகு.,"A, as its first of letters, every speech maintains; The Primal Deity is first through all the world's domains. ","अक्षर सबके आदि में, है अकार का स्थान ।  अखिल लोक का आदि तो, रहा आदि भगवान ॥","As all letters have the letter A for their first, so the world has the eternal God for its first.","எழுத்து எல்லாம் அகரம் முதல - எழுத்துக்கள்  எல்லாம் அகரம் ஆகிய முதலை உடையன; உலகு  ஆதிபகவன் முதற்று - அது போல உலகம் ஆதிபகவன்  ஆகிய முதலை உடைத்து. (இது தலைமை பற்றி வந்த  எடுத்துக்காட்டு உவமை. அகரத்திற்குத் தலைமை  விகாரத்தான் அன்றி நாதமாத்திரை ஆகிய இயல்பாற்  பிறத்தலானும், ஆதிபகவற்குத் தலைமை செயற்கை  உணர்வான் அன்றி இயற்கை உணர்வான் முற்றும்  உணர்தலானும் கொள்க.தமிழ் எழுத்திற்கே அன்றி வட  எழுத்திற்கும் முதலாதல் நோக்கி, 'எழுத்து' எல்லாம்  என்றார். ஆதிபகவன் என்னும் இரு பெயரொட்டுப்  பண்புத்தொகை வடநூல் முடிபு. 'உலகு' என்றது ஈண்டு  உயிர்கள் மேல் நின்றது. காணப்பட்ட உலகத்தால்  காணப்படாத கடவுட்கு உண்மை கூற வேண்டுதலின்,  'ஆதிபகவன் முதற்றே' என உலகின் மேல் வைத்துக்  கூறினார்; கூறினாரேனும், உலகிற்கு முதல் ஆதிபகவன்  என்பது கருத்தாகக் கொள்க. ஏகாரம் - தேற்றத்தின்கண்  வந்தது. இப்பாட்டான் முதற்கடவுளது உண்மை  கூறப்பட்டது.)","जैसा कि सभी अक्षरों में उनके पहले अक्षर के लिए  अक्षर होता है, इसलिए दुनिया में पहले अक्षर के लिए शाश्वत परमेश्वर होता है।"
2,கடவுள் வாழ்த்து,பாயிரவியல்,அறத்துப்பால்,The Praise of God,Prologue,Virtue,परमेश्वर की स्तुति,गुण,प्रस्ताविका,கற்றதனால் ஆய பயனென்கொல் வாலறிவன் நற்றாள் தொழாஅர் எனின்.,"No fruit have men of all their studied lore, Save they the 'Purely Wise One's' feet adore. ","विद्योपार्जन भी भला, क्या आयेगा काम ।  श्रीपद पर सत्याज्ञ के, यदि नहिं किया प्रणाम ॥","What Profit have those derived from learning, who worship not the good feet of Him who is possessed of pure knowledge ?","கற்றதனால் ஆய பயன் என் - எல்லா நூல்களையும்  கற்றவர்க்கு அக்கல்வி அறிவான் ஆய பயன் யாது?;  வால் அறிவன் நல் தாள் தொழாஅர் எனின் -  மெய்யுணர்வினை உடையானது நல்ல தாள்களைத்  தொழாராயின்? (எவன் என்னும் வினாப்பெயர் என்  என்று ஆய், ஈண்டு இன்மை குறித்து நின்றது. 'கொல்'  என்பது அசைநிலை. பிறவிப் பிணிக்கு மருந்து ஆகலின்  'நற்றாள்' என்றார். ஆகம அறிவிற்குப் பயன் அவன்  தாளைத் தொழுது பிறவியறுத்தல் என்பது இதனான்  கூறப்பட்டது.","सीखने से उन लोगों को क्या लाभ हुआ है, जो शुद्ध ज्ञान रखने वाले के अच्छे पैरों की आराधना नहीं करते हैं?"
3,கடவுள் வாழ்த்து,பாயிரவியல்,அறத்துப்பால்,The Praise of God,Prologue,Virtue,परमेश्वर की स्तुति,गुण,प्रस्ताविका,மலர்மிசை ஏகினான் மாணடி சேர்ந்தார் நிலமிசை நீடுவாழ் வார்.,"His feet, 'Who o'er the full-blown flower hath past,' who gain In bliss long time shall dwell above this earthly plain. ","हृदय-पद्‍म-गत ईश के, पाद-पद्‍म जो पाय ।  श्रेयस्कर वरलोक में, चिरजीवी रह जाय ॥","They who are united to the glorious feet of Him who occupies swiftly the flower of the mind, shall flourish in the highest of worlds (heaven).","மலர்மிசை ஏகினான் மாண்அடி சேர்ந்தார் - மலரின்  கண்ணே சென்றவனது மாட்சிமைப்பட்ட அடிகளைச்  சேர்ந்தார்; நிலமிசை நீடுவாழ்வார் - எல்லா உலகிற்கும்  மேலாய வீட்டு உலகின்கண் அழிவின்றி வாழ்வார்.  (அன்பான் நினைவாரது உள்ளக் கமலத்தின்கண் அவர்  நினைந்த வடிவோடு விரைந்து சேறலின் 'ஏகினான்'  என இறந்த காலத்தால் கூறினார்; என்னை? ""வாராக்  காலத்தும் நிகழும் காலத்தும் ஓராங்கு வரூஉம்  வினைச் சொற் கிளவி இறந்த காலத்துக் குறிப்பொடு  கிளத்தல் விரைந்த பொருள் என்மனார் புலவர்"" (தொல்,  சொல், வினை, 44) என்பது ஓத்தாகலின். இதனைப்  'பூமேல் நடந்தான்' என்பதோர் பெயர்பற்றிப் பிறிதோர்  கடவுட்கு ஏற்றுவாரும் உளர். சேர்தல் - இடைவிடாது  நினைத்தல்).","जो लोग तेजी से मन के फूल पर कब्जा करने वाले उसके गौरवशाली पैरों से एकजुट होते हैं, वे दुनिया के सर्वोच्च (स्वर्ग) में पनपेंगे।"
4,கடவுள் வாழ்த்து,பாயிரவியல்,அறத்துப்பால்,The Praise of God,Prologue,Virtue,परमेश्वर की स्तुति,गुण,प्रस्ताविका,வேண்டுதல் வேண்டாமை இலானடி சேர்ந்தார்க்கு யாண்டும் இடும்பை இல.,"His foot, 'Whom want affects not, irks not grief,' who gain Shall not, through every time, of any woes complain. ","राग-द्वेष विहीन के, चरणाश्रित जो लोग ।  दुःख न दे उनको कभी, भव-बाधा का रोग ॥","To those who meditate the feet of Him who is void of desire or aversion, evil shall never come.","வேண்டுதல் வேண்டாமை இலான் அடி சேர்ந்தார்க்கு -  ஒரு பொருளையும் விழைதலும் வெறுத்தலும்  இல்லாதவன் அடியைச் சேர்ந்தார்க்கு; யாண்டும்  இடும்பை இல - எக்காலத்தும் பிறவித் துன்பங்கள்  உளவாகா. (பிறவித் துன்பங்களாவன : தன்னைப் பற்றி  வருவனவும், பிற உயிர்களைப் பற்றி வருவனவும்,  தெய்வத்தைப் பற்றி வருவனவும் என மூவகையான்  வரும் துன்பங்கள். அடி சேர்ந்தார்க்கும் அவ்விரண்டும்  (வேண்டுதலும் வேண்டாமையும்) இன்மையின், அவை  காரணமாக வரும் மூவகைத் துன்பங்களும்  இலவாயின.).","जो लोग इच्छा या घृणा से रहित उसके चरणों का ध्यान करते हैं, उनके लिए बुराई कभी नहीं आएगी।"
5,கடவுள் வாழ்த்து,பாயிரவியல்,அறத்துப்பால்,The Praise of God,Prologue,Virtue,परमेश्वर की स्तुति,गुण,प्रस्ताविका,இருள்சேர் இருவினையும் சேரா இறைவன் பொருள்சேர் புகழ்புரிந்தார் மாட்டு.,"The men, who on the 'King's' true praised delight to dwell, Affects not them the fruit of deeds done ill or well. ","जो रहते हैं ईश के, सत्य भजन में लिप्त ।  अज्ञानाश्रित कर्म दो, उनको करें न लिप्त ॥",The two-fold deeds that spring from darkness shall not adhere to those who delight in the true praise of God.,"இருள்சேர் இருவினையும் சேரா - மயக்கத்தைப் பற்றி  வரும் நல்வினை, தீவினை என்னும் இரண்டு  வினையும் உளவாகா; இறைவன் பொருள் சேர் புகழ்  புரிந்தார் மாட்டு - இறைவனது மெய்ம்மை சேர்ந்த  புகழை விரும்பினாரிடத்து. (இன்ன தன்மைத்து என  ஒருவராலும் கூறப்படாமையின் அவிச்சையை 'இருள்'  என்றும், நல்வினையும் பிறத்தற்கு ஏதுவாகலான்  'இருவினையும் சேரா' என்றும் கூறினார். இறைமைக்  குணங்கள் இலராயினாரை உடையர் எனக்கருதி  அறிவிலார் கூறுகின்ற புகழ்கள் பொருள் சேராவாகலின்,  அவை முற்றவும் உடைய இறைவன் புகழே பொருள்  சேர் புகழ் எனப்பட்டது. புரிதல் - எப்பொழுதும்  சொல்லுதல்).",अंधकार से निकलने वाले दोहरे कर्म उन लोगों के साथ नहीं रहेंगे जो परमेश्वर की सच्ची स्तुति में प्रसन्न होते हैं।
6,கடவுள் வாழ்த்து,பாயிரவியல்,அறத்துப்பால்,The Praise of God,Prologue,Virtue,परमेश्वर की स्तुति,गुण,प्रस्ताविका,பொறிவாயில் ஐந்தவித்தான் பொய்தீர் ஒழுக்க நெறிநின்றார் நீடுவாழ் வார்.,"Long live they blest, who 've stood in path from falsehood freed; His, 'Who quenched lusts that from the sense-gates five proceed'. ","पंचेन्द्रिय-निग्रह किये, प्रभु का किया विधान ।  धर्म-पंथ के पथिक जो, हों चिर आयुष्मान ॥",Those shall long proposer who abide in the faultless way of Him who has destroyed the five desires of the senses.,"பொறி வாயில் ஐந்து அவித்தான் - மெய், வாய், கண்,  மூக்கு, செவி என்னும் பொறிகளை வழியாக உடைய  ஐந்து அவாவினையும் அறுத்தானது; பொய் தீர் ஒழுக்க  நெறி நின்றார்-மெய்யான ஒழுக்க நெறியின்கண்  நின்றார், நீடு வாழ்வார் - பிறப்பு இன்றி எக்காலத்தும்  ஒரு தன்மையராய் வாழ்வார். (புலன்கள் ஐந்து  ஆகலான், அவற்றின்கண் செல்கின்ற அவாவும் ஐந்து  ஆயிற்று. ஒழுக்க நெறி ஐந்தவித்தானால்  சொல்லப்பட்டமையின், ஆண்டை ஆறனுருபு செய்யுட்  கிழமைக்கண் வந்தது. 'கபிலரது பாட்டு' என்பது  போல. இவை நான்கு பாட்டானும் இறைவனை  நினைத்தலும், வாழ்த்தலும், அவன் நெறி நிற்றலும்  செய்தார் வீடு பெறுவர் என்பது கூறப்பட்டது).",वे लंबे समय तक प्रस्तावक होंगे जो उसके निर्दोष तरीके से बने रहेंगे जिसने इंद्रियों की पांच इच्छाओं को नष्ट कर दिया है।
7,கடவுள் வாழ்த்து,பாயிரவியல்,அறத்துப்பால்,The Praise of God,Prologue,Virtue,परमेश्वर की स्तुति,गुण,प्रस्ताविका,தனக்குவமை இல்லாதான் தாள்சேர்ந்தார்க் கல்லால் மனக்கவலை மாற்றல் அரிது.,"Unless His foot, 'to Whom none can compare,' men gain, 'Tis hard for mind to find relief from anxious pain. ","ईश्वर उपमारहित का, नहीं पदाश्रय-युक्त ।  तो निश्चय संभव नहीं, होना चिन्ता-मुक्त ॥","Anxiety of mind cannot be removed, except from those who are united to the feet of Him who is incomparable.","தனக்கு உவமை இல்லாதான் தாள்சேர்ந்தார்க்கு  அல்லால் - ஒருவாற்றானும் தனக்கு நிகர்  இல்லாதவனது தாளைச் சேர்ந்தார்க்கு அல்லது;  மனக்கவலை மாற்றல் அரிது - மனத்தின்கண் நிகழும்  துன்பங்களை நீக்குதல் உண்டாகாது. (""உறற்பால  தீண்டா விடுதலரிது"" (நாலடி.109) என்றாற் போல,  ஈண்டு 'அருமை' இன்மைமேல் நின்றது. தாள்  சேராதார் பிறவிக்கு ஏது ஆகிய காம வெகுளி  மயக்கங்களை மாற்றமாட்டாமையின், பிறந்து இறந்து  அவற்றான் வரும் துன்பங்களுள் அழுந்துவர்  என்பதாம்.).","मन की चिंता को हटाया नहीं जा सकता है, सिवाय उन लोगों के जो उसके चरणों में एकजुट हैं जो अतुलनीय है।"
8,கடவுள் வாழ்த்து,பாயிரவியல்,அறத்துப்பால்,The Praise of God,Prologue,Virtue,परमेश्वर की स्तुति,गुण,प्रस्ताविका,அறவாழிஅந்தணன் தாள்சேர்ந்தார்க் கல்லால் பிறவாழி நீந்தல் அரிது.,"Unless His feet 'the Sea of Good, the Fair and Bountiful,' men gain, 'Tis hard the further bank of being's changeful sea to attain. ","धर्म-सिन्धु करुणेश के, शरणागत है धन्य ।  उसे छोड दुख-सिन्धु को, पार‍ न पाये अन्य ॥","None can swim the sea of vice, but those who are united to the feet of that gracious Being who is a sea of virtue.","அற ஆழி அந்தணன் தாள் சேர்ந்தார்க்கு அல்லால் -  அறக்கடல் ஆகிய அந்தணனது தாள் ஆகிய புணையைச்  சேர்ந்தார்க்கல்லது; பிற ஆழி நீந்தல் அரிது. அதனின்  பிறவாகிய கடல்களை நீந்தல் அரிது. (அறம், பொருள்,  இன்பம் என உடன் எண்ணப்பட்ட மூன்றனுள் அறத்தை  முன்னர்ப் பிரித்தமையான், ஏனைப் பொருளும்,  இன்பமும் பிற எனப்பட்டன. பல்வேறு வகைப்பட்ட  அறங்கள் எல்லாவற்றையும் தனக்கு வடிவமாக  உடையான் ஆகலின், 'அறஆழி' அந்தணன் என்றார்.  'அறஆழி' என்பதனைத் தரும சக்கரம் ஆக்கி, 'அதனை  உடைய அந்தணன்' என்று உரைப்பாரும் உளர்.  அப்புணையைச் சேராதார் கரைகாணாது அவற்றுள்ளே  அழுந்துவர் ஆகலின், 'நீந்தல் அரிது' என்றார். இஃது  ஏகதேச உருவகம்.).","कोई भी बुराई के समुद्र को तैर नहीं सकता है, लेकिन जो लोग उस दयालु व्यक्ति के चरणों में एकजुट हैं जो सद्गुण का समुद्र है।"
9,கடவுள் வாழ்த்து,பாயிரவியல்,அறத்துப்பால்,The Praise of God,Prologue,Virtue,परमेश्वर की स्तुति,गुण,प्रस्ताविका,கோளில் பொறியின் குணமிலவே எண்குணத்தான் தாளை வணங்காத் தலை.,"Before His foot, 'the Eight-fold Excellence,' with unbent head, Who stands, like palsied sense, is to all living functions dead. ","निष्क्रिय इन्द्रिय सदृश ही, 'सिर' है केवल नाम ।  अष्टगुणी के चरण पर, यदि नहिं किया प्रणाम ॥","The head that worships not the feet of Him who is possessed of eight attributes, is as useless as a sense without the power of sensation.","கோள் இல் பொறியில் குணம் இல - தத்தமக்கு ஏற்ற  புலன்களைக் கொள்கை இல்லாத பொறிகள் போலப்  பயன்படுதலுடைய அல்ல; எண் குணத்தான் தாளை  வணங்காத் தலை - எண் வகைப்பட்ட குணங்களை  உடையானது தாள்களை வணங்காத தலைகள்.  (எண்குணங்களாவன: தன்வயத்தன் ஆதல், தூய  உடம்பினன் ஆதல், இயற்கை உணர்வினன் ஆதல்,  முற்றும் உணர்தல், இயல்பாகவே பாசங்களின்  நீங்குதல், பேரருள் உடைமை, முடிவு இல் ஆற்றல்  உடைமை, வரம்பு இல் இன்பம் உடைமை என  இவை.இவ்வாறு சைவாகமத்துக் கூறப்பட்டது.  'அணிமா' வை முதலாக உடையன எனவும், 'கடை  இலா அறிவை' முதலாக உடையன எனவும்  உரைப்பாரும் உளர். காணாத கண் முதலியன போல  வணங்காத தலைகள் பயன் இல எனத்தலைமேல்  வைத்துக் கூறினார். கூறினாரேனும், இனம்பற்றி  வாழ்த்தாத நாக்களும் அவ்வாறே பயன் இல  என்பதூஉம் கொள்க. இவை மூன்று பாட்டானும்  அவனை நினைத்தலும், வாழ்த்தலும், வணங்கலும்  செய்யாவழிப் படும் குற்றம் கூறப்பட்டது.).","वह सिर जो आठ गुणों से सम्पन्न परमेश्वर के चरणों की आराधना नहीं करता है, वह संवेदना की शक्ति के बिना एक अर्थ के रूप में बेकार है।"
10,கடவுள் வாழ்த்து,பாயிரவியல்,அறத்துப்பால்,The Praise of God,Prologue,Virtue,परमेश्वर की स्तुति,गुण,प्रस्ताविका,பிறவிப் பெருங்கடல் நீந்துவர் நீந்தார் இறைவன் அடிசேரா தார்.,"They swim the sea of births, the 'Monarch's' foot who gain; None others reach the shore of being's mighty main. ","भव-सागर विस्तार से, पाते हैं निस्तार ।  ईश-शरण बिन जीव तो, कर नहीं पाये पार ॥",None can swim the great sea of births but those who are united to the feet of God.,"இறைவன் அடி (சேர்ந்தார்) பிறவிப் பெருங்கடல்  நீந்துவர் - இறைவன் அடி என்னும் புணையைச்  சேர்ந்தார் பிறவி ஆகிய பெரிய கடலை நீந்துவர்;  சேராதார் நீந்தார் - அதனைச் சேராதார் நீந்தமாட்டாராய்  அதனுள் அழுந்துவர். (காரண காரியத் தொடர்ச்சியாய்  கரை இன்றி வருதலின், 'பிறவிப் பெருங்கடல்'  என்றார். சேர்ந்தார் என்பது சொல்லெச்சம்.  உலகியல்பை நினையாது இறைவன் அடியையே  நினைப்பார்க்குப் பிறவி அறுதலும், அவ்வாறன்றி மாறி  நினைப்பார்க்குப் அஃது அறாமையும் ஆகிய இரண்டும்  இதனான் நியமிக்கப்பட்டன.).","कोई भी जन्मों के महान समुद्र को तैर नहीं सकता है, लेकिन वे जो परमेश्वर के चरणों में एकजुट हैं।"
